"","council_id","leave_share","BNP_vote_share","Conservative_vote_share","Green_vote_share","LD_vote_share","Labour_vote_share","UKIP_vote_share","agriculture","eu_eco_dependence","fiscal_cuts","eu_15_imm_growth","immigrant_share","median_wage_growth","unemployment"
"85",115,52.1887067853052,0.884305119514465,34.6370086669922,7.75889778137207,8.33255672454834,13.2107315063477,30.1471405029297,0.81,13.1,-250.693771362305,0.142173573374748,11.9777158774373,-2.26179981231689,3.3
"86",116,64.0791728467952,1.16895294189453,23.1071720123291,5.65889930725098,3.71730065345764,19.121057510376,41.8810768127441,0.525,13.1,-72.4560394287109,0.216844096779823,10.2189781021898,-0.769171833992004,8.4
"87",117,63.8418625129535,0.996341645717621,24.3486137390137,5.37930393218994,3.25604939460754,19.1751651763916,41.9816246032715,0.98,13.1,-105.356155395508,0.265743404626846,10.8882521489971,-2.68214225769043,6.1
"88",118,59.3522029887876,0.73085480928421,24.7862319946289,8.67781734466553,5.21347904205322,15.6837682723999,40.5061111450195,0.98,13.1,-40.0311965942383,0.230993285775185,9.14396887159533,-5.79835271835327,6.9
"89",119,59.0492911215571,0.796406805515289,29.4187850952148,7.03760814666748,8.83689785003662,11.4124822616577,37.7944602966309,0.98,13.1,-174.754211425781,0.260751873254776,13.3333333333333,-3.91082382202148,4.9
"90",120,51.9697563119131,0.618246078491211,35.416820526123,7.48904180526733,7.07374000549316,10.9307174682617,34.3121337890625,0.98,13.1,-234.023651123047,0.260520547628403,10.1408450704225,-5.58261060714722,2.7
"91",122,49.6592469680066,0.754150331020355,28.5302677154541,11.1687393188477,11.4956665039062,14.5854110717773,31.0525951385498,0.39,13.8,-169.959365844727,0.260756403207779,7.8907435508346,-2.73102974891663,3.6
"92",123,50.9776023247526,0.694321751594543,31.8692531585693,10.819561958313,10.5835609436035,14.8292989730835,28.5829105377197,1.35,13.8,-197.471176147461,0.300057202577591,8.25082508250825,-5.096022605896,4.9
"93",124,54.6585225512327,0.907696485519409,26.7959957122803,7.29585886001587,6.51087236404419,24.774881362915,30.7155094146729,0.466666666666667,13.8,-133.956909179688,0.367673605680466,15.2073732718894,-6.96648454666138,5.3
"94",125,52.4886204330293,0.666119873523712,35.4952201843262,9.78789901733398,10.1642684936523,9.93507385253906,31.3904190063477,1.53,13.8,-217.398788452148,0.195393249392509,7.59493670886076,-7.96450471878052,3.7
"95",126,56.4682535208091,0.893124461174011,28.9757690429688,9.22157573699951,8.60055446624756,11.165358543396,38.0814743041992,0.3,13,-92.5787658691406,0.517015099525452,14.1176470588235,0.0457320436835289,4.2
"96",127,56.5949868323829,0.594784557819366,33.5808372497559,9.25531387329102,9.43491649627686,9.4426908493042,34.8815879821777,2.1,13,-162.220855712891,0.0977032110095024,5.58252427184466,2.78841137886047,3.8
"97",128,55.7332693272819,0.656626462936401,29.7212295532227,10.1612615585327,15.234655380249,8.73879051208496,33.0898933410645,2.45,13,-110.972778320312,0.304360836744308,7.14285714285714,-1.40177500247955,4.5
"98",129,56.4601437333079,0.751920461654663,25.652759552002,11.1771049499512,12.14870262146,10.9689531326294,36.6759567260742,2.88,8.2,-34.2691116333008,0.242784783244133,4.77941176470588,-4.2881932258606,3.7
"99",131,63.1581029753112,0.798632562160492,25.9452457427979,7.24073934555054,10.7476491928101,9.35962009429932,43.2204627990723,0.86,10.9,148.382034301758,0.0902040004730225,6.87022900763359,-3.70080661773682,5.9
"100",132,52.7917720195434,0.608031928539276,29.9952297210693,12.9963579177856,9.43533706665039,11.682279586792,32.9438819885254,2.86,10.9,-123.325973510742,0.175161421298981,5.4089709762533,-1.76443064212799,2.9
